# 공급사에 보낸 인증·기술자료 요청 메일 전수 판독 대장. 1행 = (모델 표기 × 자료유형) 1건
"# 판독 대상: 공급사·인증기관 수신 발송메일 5,346통에서 추린 요청 후보 325통 (요청 메일 288통 / 요청 항목 549건)"
# 현재보유: 보유=조회엔진이 문서를 찾음 / 미보유=마크 X 또는 모델이 지식베이스 미등재 / 판정불가=모델 미특정·제품군 모호
# 확정여부: 확정 외(추정…)는 모델 해석 또는 인증서 적용범위가 추정이라는 뜻 — 고객 제출 전 적용범위 확인 필요
# 마크: O=완제품 단위 인증서 / 자재=자재별 성적서 묶음 / *=라인 인증서 추론 매핑 / 전사=제조사 단위 인증 / X=없음
# 자료유형 기타(Other-cert): FCC·ETL·IP67/68·원산지증명·공장등록증·LSZH 난연·CCC 등 매핑표 밖 요청. manifest Other-cert 축으로 판정
"# 정렬: 미보유 → 판정불가 → 보유, 그 다음 모델명·자료유형"
모델,제품군,매칭경로,확정여부,자료유형,현재보유,마크,요청횟수,최초요청,최근요청,수신처,대표 메일제목,근거문구
LS-5SFTP-B300M,LS-5SFTP-B300,prefix,추정(모델매칭),CE,미보유,X,1,2023-05-19,2023-05-19,BOR Cable (Mr Gu),CE certificate for LS-5SFTP-B300M,We need CE sheet for LS-5SFTP-B300M.
LS-5UTP-100MBL,LS-5UTP,suffix,확정,Test report,미보유,X,1,2024-03-27,2024-03-27,BOR Cable (Mr Gu),Data sheet and ROHS sheet for 100m Patch cord,"Could you please send data sheet, ROHSsheet and any tset report?"
LS-5UTP-100MG,LS-5UTP,suffix,확정,Test report,미보유,X,1,2024-03-27,2024-03-27,BOR Cable (Mr Gu),Data sheet and ROHS sheet for 100m Patch cord,"Could you please send data sheet, ROHSsheet and any tset report?"
LS-5UTPAD-*M,LS-5UTPAD,suffix,확정,MSDS/SDS,미보유,X,1,2026-07-08,2026-07-08,BOR Cable (Mr Gu),Request for Updated RoHS and MSDS Documents,provide the latest RoHS and MSDS documents for the following five cables
LS-6FTP-100MG,LS-6FTP-100MG,exact,확정,CoC,미보유,X,1,2026-06-19,2026-06-19,BOR Cable (Mr Gu),Request for CoC Certificate of LS-6FTP-100MG,Could you please provide the CoC certificate for LS-6FTP-100MG?
LS-6IC-FKTMT,LS-6IC-FKTMT,exact,확정,Drawing,미보유,X,1,2024-05-17,2024-05-17,EPN·EP Corp (Roy),Data sheet for LS-6IC-FKTMT,data sheet (Drawing file) for LS-6IC-FKTMT
LS-6IC-UJW,LS-6IC-UJW,exact,확정,MSDS/SDS,미보유,X,1,2024-03-27,2024-03-27,EPN·EP Corp (Roy),RE: RE: Data sheet (Drawing sheet),Could you please send Data sheet or MSDS sheet for LS-6IC-UJW?
LS-6IC-xxx,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2023-02-20,2023-02-20,EPN·EP Corp (Roy),Data sheet or Draw sheet for coupler,We need data sheet or draw sheet for coupler. 2. LS-6IC-xxx
LS-6IC-xxx,,none(KB 미등재),추정불가,Drawing,미보유,X,1,2023-02-20,2023-02-20,EPN·EP Corp (Roy),Data sheet or Draw sheet for coupler,We need data sheet or draw sheet for coupler. 2. LS-6IC-xxx
LS-6PLB-24P19LED,,none(KB 미등재),추정불가,기타(Other-cert),미보유,X,2,2022-07-26,2024-01-17,BOR Cable (Mr Gu),urgent request,We need Factory registration certificate sheet of LS-6PLB-24P19LED.
LS-6PLB-24P19N,LS-6PLB-24P19N,exact,확정,Drawing,미보유,X,1,2023-05-30,2023-05-30,BOR Cable (Mr Gu),Data sheet and CAD sheet for patch pannel,CAD sheet (3D drawing file/DWG) ... 2. LS-6PLB-24P19N
LS-6SFTP-300M,LS-6SFTP-300M,exact,확정,MSDS/SDS,미보유,X,1,2026-06-04,2026-06-04,BOR Cable (Mr Gu),Request for ROHS and MSDS sheet about LS-6SFTP-300m,We need the RoHS and MSDS documents for LS-6SFTP-300M
LS-6STPC-xM,,none(KB 미등재),추정불가,Fluke test,미보유,X,1,2024-10-22,2024-10-22,BOR Cable (Mr Gu),cat.6 Cross patch cord fluke test,Could you please send fluke test report about LS-6STPC-xM (cross patch cord)?
LS-6STPD-*M,LS-6STPD,suffix,확정,MSDS/SDS,미보유,X,1,2026-07-08,2026-07-08,BOR Cable (Mr Gu),Request for Updated RoHS and MSDS Documents,provide the latest RoHS and MSDS documents for the following five cables
LS-6UTPC-*M,LS-6UTPC,suffix,확정,MSDS/SDS,미보유,X,1,2026-07-08,2026-07-08,BOR Cable (Mr Gu),Request for Updated RoHS and MSDS Documents,provide the latest RoHS and MSDS documents for the following five cables
LS-6UTPD-*M,LS-6UTPD,suffix,확정,MSDS/SDS,미보유,X,1,2026-07-08,2026-07-08,BOR Cable (Mr Gu),Request for Updated RoHS and MSDS Documents,provide the latest RoHS and MSDS documents for the following five cables
LS-7SD-BKxM,LS-7SD-BKXM,exact,확정,CE,미보유,X,3,2022-03-02,2025-09-30,BOR Cable (Mr Gu),Request for CE Certificate for LS-7SD-BKxM Series Cable,re-send ... We are in need of a CE certification for the LS-7SD-BKxM series cable.
LS-7SSTP-300M,LS-7SSTP,suffix,확정,기타(Other-cert),미보유,X,1,2025-06-05,2025-06-05,BOR Cable (Mr Gu),Request for LSZH Flame-Retardant Certification for LS-SSTP-CAT.6A-300M and LS-7SSTP-300M Cables,formal LSZH flame-retardant certificates ... LS-7SSTP-300M
LS-7SSTP-300MG,LS-7SSTP,suffix,추정(모델매칭),UL,미보유,X,1,2021-11-19,2021-11-19,BOR Cable (Mr Gu),"UL, DELTA, ETL","If have a certificate sheet, please send it. 2. LS-7SSTP-300MG"
LS-7UTP-300MG,LS-7UTP,suffix,확정,CE,미보유,X,1,2022-05-17,2022-05-17,BOR Cable (Mr Gu),Fluke and certificate for LS-7UTP-300MG,"and any certificate (ETL , UL , CE)"
LS-7UTP-300MG,LS-7UTP,suffix,확정,UL,미보유,X,1,2022-05-17,2022-05-17,BOR Cable (Mr Gu),Fluke and certificate for LS-7UTP-300MG,"and any certificate (ETL , UL , CE)"
LS-7UTP-300MG,LS-7UTP,suffix,확정,기타(Other-cert),미보유,X,1,2022-05-17,2022-05-17,BOR Cable (Mr Gu),Fluke and certificate for LS-7UTP-300MG,"any certificate (ETL , UL , CE) — ETL"
LS-8SSTP-200MG,LS-8SSTP-200MG,exact,확정,UL,미보유,X,2,2023-02-03,2023-07-25,BOR Cable (Mr Gu),Cat.8 Drum cable,cat.8 drum cable (LS-8SSTP-200MG) I. UL or ETL sheet.
LS-8SSTP-200MG,LS-8SSTP-200MG,exact,확정,기타(Other-cert),미보유,X,1,2023-02-03,2023-02-03,BOR Cable (Mr Gu),LS-8SSTP-200MG certificate,"We need UL, LSZH material sheet for Cat.8 200M cable"
LS-8SSTPD-xMB,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2021-12-28,2021-12-28,BOR Cable (Mr Gu),About Cat.8 patch cord,Our customer requested a data sheet with the allowable temperature for LS-8SSTPD-xMB
LS-BZ-KTBKZ,LS-BZ-KTBKZ,exact,확정,CE,미보유,X,1,2022-12-16,2022-12-16,EPN·EP Corp (Roy),"ROHS, CE sheet",We need ROHS and CE sheet about below products. 1. LS-BZ-KTBKZ
LS-BZ-KTBKZ,LS-BZ-KTBKZ,exact,확정,RoHS,미보유,X,1,2022-12-16,2022-12-16,EPN·EP Corp (Roy),"ROHS, CE sheet",We need ROHS and CE sheet about below products. 1. LS-BZ-KTBKZ
LS-CAT5E-UTP,LS-CAT5E-UTP,exact,확정,CE,미보유,X,1,2024-05-14,2024-05-14,BOR Cable (Mr Gu),CE certificate for RJ45 connector,"If you have CE certificate for RJ45 connector, Please send it. LS-CAT5E-UTP / CAT6-UTP / CAT6-STP..."
LS-CAT6-STP,LS-CAT6-STP,exact,확정,CE,미보유,X,1,2024-05-14,2024-05-14,BOR Cable (Mr Gu),CE certificate for RJ45 connector,LS-CAT5E-UTP / CAT6-UTP / CAT6-STP...
LS-CAT6-STP,LS-CAT6-STP,exact,확정,REACH,미보유,X,1,2025-07-22,2025-07-22,BOR Cable (Mr Gu),"Request for Datasheet, RoHS, MSDS, and SVHC Documents for LS-CAT6-STP",SVHC (Substances of Very High Concern) Declaration
LS-CAT6-UTP,LS-CAT6-UTP,exact,확정,CE,미보유,X,1,2024-05-14,2024-05-14,BOR Cable (Mr Gu),CE certificate for RJ45 connector,LS-CAT5E-UTP / CAT6-UTP / CAT6-STP...
LS-CAT7-750,LS-CAT7-750,exact,확정,RoHS,미보유,X,1,2021-06-03,2021-06-03,BOR Cable (Mr Gu),RE: Re: Cat.7 patch cord,connector(LS-CAT7-750) must be ROHS2.0. Boots and connectors also have ROHS2.0 sheet?
LS-CON44,,none(KB 미등재),추정불가,CoC,미보유,X,1,2026-05-13,2026-05-13,BOR Cable (Mr Gu),Inquiry About CoC Sheet for LS-CON44 RJ11 Connector,Do you have a Certificate of Conformity or Compliance Certificate (CoC) sheet for the LS-CON44 RJ11 connector?
LS-COUPLER-YD8HM,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2023-06-27,2023-06-27,BOR Cable (Mr Gu),Data sheet and test report,Could you please send data sheet and any test report about below product? LS-COUPLER-YD8HM
LS-COUPLER-YD8HM,,none(KB 미등재),추정불가,Test report,미보유,X,1,2023-06-27,2023-06-27,BOR Cable (Mr Gu),Data sheet and test report,data sheet and any test report about below product? LS-COUPLER-YD8HM
LS-CUP-ID8C,LS-CUP-ID8C,exact,확정,MSDS/SDS,미보유,X,1,2021-10-06,2021-10-06,BOR Cable (Mr Gu),"ROHS, MSDS about coupler","We need RoHS or MSDS sheet for Coupler ( LS-CUP-ID8C , LS-CUP-YD8C)"
LS-CUP-YD8C,LS-CUP-YD8C,exact,확정,Data sheet,미보유,X,1,2023-06-27,2023-06-27,BOR Cable (Mr Gu),RE: Re: Data sheet and test report,Could you please send data sheet for M/F type? (LS-CUP-YD8C)
LS-CUP-YD8C,LS-CUP-YD8C,exact,확정,MSDS/SDS,미보유,X,1,2021-10-06,2021-10-06,BOR Cable (Mr Gu),"ROHS, MSDS about coupler","We need RoHS or MSDS sheet for Coupler ( LS-CUP-ID8C , LS-CUP-YD8C)"
LS-DC-RJ45PP-WHC,LS-DC-RJ45PP-WHC,exact,확정,Data sheet,미보유,X,1,2021-09-30,2021-09-30,BOR Cable (Mr Gu),RE: Re: Dust cap,could you please send the data sheet and ROHS2.0 sheet? (LS-DC-RJ45PP-WHC / LS-DC-USBPE-WHC)
LS-DC-USBPE-WHC,LS-DC-USBPE-WHC,exact,확정,Data sheet,미보유,X,1,2021-09-30,2021-09-30,BOR Cable (Mr Gu),RE: Re: Dust cap,could you please send the data sheet and ROHS2.0 sheet? (LS-DC-RJ45PP-WHC / LS-DC-USBPE-WHC)
LS-DC-USBPE-WHC,LS-DC-USBPE-WHC,exact,확정,REACH,미보유,X,1,2020-12-04,2020-12-04,BOR Cable (Mr Gu),ROHS about LS-DC-USBPE-WHC,we need ROHS or REACH sheet about LS-DC-USBPE-WHC
LS-DP192-xM,LS-DP192,suffix,확정,CoC,미보유,X,1,2024-04-16,2024-04-16,BOR Cable (Mr Gu),COC for Display cable,We need COC sheet for LS-DP192-xM series.
LS-DVI25M-Xm,LS-DVI25M,suffix,확정,CoC,미보유,X,2,2021-08-30,2021-08-30,BOR Cable (Mr Gu) / EPNU Cable (Anna),COC sheet,We need COC sheet about DVI Dual Cable (LS-DVI25M-Xm)
LS-EIC-UKW,LS-EIC-UK,prefix,추정(모델매칭),Drawing,미보유,X,1,2026-03-18,2026-03-18,Livewire Asia-Pacific (Ian),Request for Specification Sheet and Drawing Sheet for LS-EIC-UKW,provide the specification sheet and drawing sheet for the LS-EIC-UKW
LS-EIC-xxx,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2023-02-20,2023-02-20,EPN·EP Corp (Roy),Data sheet or Draw sheet for coupler,We need data sheet or draw sheet for coupler. 1. LS-EIC-xxx
LS-EIC-xxx,,none(KB 미등재),추정불가,Drawing,미보유,X,1,2023-02-20,2023-02-20,EPN·EP Corp (Roy),Data sheet or Draw sheet for coupler,We need data sheet or draw sheet for coupler. 1. LS-EIC-xxx
LS-EPLB-24P19N,LS-EPLB-24P19N,exact,확정,Drawing,미보유,X,1,2023-05-30,2023-05-30,BOR Cable (Mr Gu),Data sheet and CAD sheet for patch pannel,CAD sheet (3D drawing file/DWG) ... 1. LS-EPLB-24P19N
LS-ETMD-UJWT,LS-ETMD-UJWT,exact,확정,Drawing,미보유,X,1,2023-04-24,2023-04-24,EPN·EP Corp (Roy),Data sheet or Drawing file about LS-ETMD-UJWT,We need data sheet or drawing file about LS-ETMD-UJWT.
LS-EXT3xx,LS-EXT3XX,exact,확정,RoHS,미보유,X,1,2025-02-13,2025-02-13,BOR Cable (Mr Gu),USB 3.0 repeater cable ROHS sheet,Could you please send ROHS sheet for LS-EXT3xx series?
LS-EZ750,,none(KB 미등재),추정불가,RoHS,미보유,X,1,2022-05-12,2022-05-12,BOR Cable (Mr Gu),ROHS2.0 about LS-EZ-750 connector,"If you have ROHS2.0 sheet about LS-EZ750, Please send it"
LS-FT6U0,LS-FT6U,prefix,추정(모델매칭),Data sheet,미보유,X,1,2024-12-03,2024-12-03,BOR Cable (Mr Gu),data sheet and fluke test for transparent cable,we need data sheet and fluke test report about LS-FT6U0 series
LS-GIC-FKTMT,LS-GIC-FKTMT,exact,확정,CoC,미보유,X,1,2022-01-17,2022-01-17,EPN·EP Corp (Roy),C.O.C Sheet,Could you please check the C.O.C sheet about below product? (Certificate Of Compliance) 1. LS-GIC-FKTMT
LS-GIC-FKTMT,LS-GIC-FKTMT,exact,확정,UL,미보유,X,1,2022-06-13,2022-06-13,EPN·EP Corp (Roy),LS-GIC-FKTMT,Could you please send the UL sheet or any test report for LS-GIC-FKTMT?
LS-GIC-UJW,LS-GIC-UJW,exact,확정,UL,미보유,X,1,2023-05-18,2023-05-18,EPN·EP Corp (Roy),RE: RE: RE: RE: Data sheet,Could you please send UL sheet (include LS-GIC-UJW)
LS-GIC-xxx,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2023-02-20,2023-02-20,EPN·EP Corp (Roy),Data sheet or Draw sheet for coupler,We need data sheet or draw sheet for coupler. 3. LS-GIC-xxx
LS-GIC-xxx,,none(KB 미등재),추정불가,Drawing,미보유,X,1,2023-02-20,2023-02-20,EPN·EP Corp (Roy),Data sheet or Draw sheet for coupler,We need data sheet or draw sheet for coupler. 3. LS-GIC-xxx
LS-GKTOOL-FMT,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2020-05-11,2020-05-11,BOR Cable (Mr Gu),Data Sheet for LS-GKTOOL-FMT,We need Datasheet about LS-GKTOOL-FMT
LS-GKTVNL-F1MT,LS-GKTVNL-F1MT,exact,확정,UL,미보유,X,1,2021-12-30,2021-12-30,EPN·EP Corp (Roy),Certificate about Keystone,"We need ETL or UL certificate sheet about LS-GKTVNL-U1WH,F1MT."
LS-GKTVNL-U1WH,LS-GKTVNL-U1WH,exact,확정,UL,미보유,X,1,2021-12-30,2021-12-30,EPN·EP Corp (Roy),Certificate about Keystone,"We need ETL or UL certificate sheet about LS-GKTVNL-U1WH,F1MT."
LS-GPLB-F24X,LS-GPLB-F24X,exact,확정,Data sheet,미보유,X,1,2021-09-14,2021-09-14,EPN·EP Corp (Roy),Data sheet and test report about LS-GPLB-F24X,We need Data sheet and Test report((ETL or UL) about LS-GPLB-F24X
LS-H20AOCxx,LS-H20AOCXX,exact,확정,Data sheet,미보유,X,1,2026-02-27,2026-02-27,BOR Cable (Mr Gu),Inquiry About IC Chipset for LS-H20AOCxx and LS-HAP21AOC-xxM,kindly provide the chipset name and specifications for each model
LS-H8FTP,,none(KB 미등재),추정불가,Data sheet,미보유,X,3,2025-06-30,2025-07-04,BOR Cable (Mr Gu),Re: Data sheet for LS-H8FTP,"If you ready, Please send it. (Re: Data sheet for LS-H8FTP)"
LS-HD202,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2020-06-02,2020-06-02,BOR Cable (Mr Gu),Test report.,"If you don't have test report, Just please send the data sheet."
LS-HD202,,none(KB 미등재),추정불가,RoHS,미보유,X,1,2020-06-02,2020-06-02,BOR Cable (Mr Gu),Test report.,the test report (ROHS or data sheet). 3. LS-HD202
LS-HD202,,none(KB 미등재),추정불가,Test report,미보유,X,1,2020-06-02,2020-06-02,BOR Cable (Mr Gu),Test report.,Our customer request the test report ... 3. LS-HD202
LS-HD2DP-xm,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2021-01-19,2021-01-19,BOR Cable (Mr Gu),"data sheet about Slim HDMI , DP14 , HDMI to DP",we need data sheet about new cable. 3. LS-HD2DP-xm
LS-HDMI-AD20-,LS-HDMI-AD20,exact,확정,Data sheet,미보유,X,1,2020-12-16,2020-12-16,BOR Cable (Mr Gu),data sheet about micro hdmi cable,we need data sheet about Micro HDMI cable (LS-HDMI-AD20-)
LS-HDMI-AD20-xm,LS-HDMI-AD20,suffix,확정,RoHS,미보유,X,1,2020-12-18,2020-12-18,BOR Cable (Mr Gu),ROHS for LS-HDMI-AD20-1M,we need ROHS for LS-HDMI-AD20-xm
LS-HDMI-HMM-2M,LS-HDMI-HMM,suffix,확정,RoHS,미보유,X,1,2020-10-06,2020-10-06,BOR Cable (Mr Gu),ROHS about HDMI cable,We need ROHS sheet abour LS-HDMI-HMM-2M
LS-HDMI-HMM-Xm,LS-HDMI-HMM,suffix,확정,Data sheet,미보유,X,1,2020-06-02,2020-06-02,BOR Cable (Mr Gu),Test report.,"If you don't have test report, Just please send the data sheet."
LS-HDMI-HMM-Xm,LS-HDMI-HMM,suffix,확정,RoHS,미보유,X,1,2020-06-02,2020-06-02,BOR Cable (Mr Gu),Test report.,the test report (ROHS or data sheet). 1. LS-HDMI-HMM-Xm
LS-HDMI-SMF-xM,,none(KB 미등재),추정불가,MSDS/SDS,미보유,X,1,2022-04-28,2022-04-28,BOR Cable (Mr Gu),MSDS sheet,Could you please send the MSDS sheet? ... 2. LS-HDMI-SMF-xM
LS-HDMI-SMF-xm,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2021-01-22,2021-01-22,BOR Cable (Mr Gu),data sheet and ROHS,we need data sheet and ROHS sheet 1. LS-HDMI-SMF-xm
LS-HDMI-SMF-xm,,none(KB 미등재),추정불가,RoHS,미보유,X,1,2021-01-22,2021-01-22,BOR Cable (Mr Gu),data sheet and ROHS,we need data sheet and ROHS sheet 1. LS-HDMI-SMF-xm
LS-HDMI21-xm,LS-HDMI21,suffix,확정,기타(Other-cert),미보유,X,1,2021-01-05,2021-01-05,BOR Cable (Mr Gu),HDMI 2.1 ver certification.,we need the certification for LS-HDMI21-xm ... 1. HDMI license
LS-HDMT-xM,LS-HDMT,suffix,확정,UL,미보유,X,1,2023-02-13,2023-02-13,BOR Cable (Mr Gu),"CE, FCC, UL about HDMI CABLE","they need CE, FCC or UL sheet"
LS-HF series,LS-HF SERIES,exact,확정,CoC,미보유,X,1,2025-06-16,2025-06-16,BOR Cable (Mr Gu),Request for CE Certificate for LS-HF Series Cables,may be in the form of a RoHS certificate or a COC (Certificate of Conformity)
LS-HRGB-15MM-xM,LS-HRGB-15MM,suffix,확정,Test report,미보유,X,1,2022-03-17,2022-03-17,BOR Cable (Mr Gu),test report or UL certificate about High RGB cable,We need the test report or UL certificate about LS-HRGB-15MM-xM.
LS-LAN20R,LS-LAN20R,exact,확정,CE,미보유,X,1,2025-08-07,2025-08-07,BOR Cable (Mr Gu),Request for CE Certification Sheet for LS-LAN20R,We would like to request the CE certification sheet for the LS-LAN20R product.
LS-LKPS,,none(KB 미등재),추정불가,RoHS,미보유,X,1,2025-03-27,2025-03-27,EPN·EP Corp (Roy),ROHS for LS-LKPG series,Could you please send the ROHS sheet for LS-LKPS series?
LS-MDP192-xM,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2026-03-05,2026-03-05,BOR Cable (Mr Gu),Request for Updated Datasheets with Pin Map,provide the datasheet for LS-MDP192-xM including the pin map
LS-OM3-LCLC-20M,LS-OM3-LCLC,suffix,확정,UL,미보유,X,1,2025-10-21,2025-10-21,BOR Cable (Mr Gu),"Re: Certification Inquiry for LS-OM3-LCLC-20M (UL, LSZH, RoHS)",our customer is now requesting the UL certificate for this product ... please confirm whether the current factory still maintains a valid UL certification
LS-OM3-LCLC-Xm,LS-OM3-LCLC,suffix,확정,CE,미보유,X,1,2022-06-17,2022-06-17,BOR Cable (Mr Gu),RoHS2.0 certificate for Fiber cable,Could you please send the RoHS2.0 or CE certificate? LS-OM3-LCLC-Xm
LS-P197-2410G,LS-P197-2410G,exact,확정,UL,미보유,X,1,2022-12-28,2022-12-28,BOR Cable (Mr Gu),Data sheet and certificaton for cat.6a patch panel,certification sheet (UL or any sheet)
LS-RJ45-SHORT,LS-RJ45-SHORT,exact,확정,CE,미보유,X,1,2022-12-16,2022-12-16,BOR Cable (Mr Gu),"ROHS, CE",We need ROHS and CE sheet for below products. 2. LS-RJ45-SHORT
LS-RS204C,LS-RS204C,exact,확정,Data sheet,미보유,X,1,2022-06-23,2022-06-23,Aucuba (Mai),RE: RE: RE: Order,"If you have any certificate or test report and data sheet for LS-RS204C, Please send it"
LS-RS204C,LS-RS204C,exact,확정,기타(Other-cert),미보유,X,1,2022-06-23,2022-06-23,Aucuba (Mai),RE: RE: RE: Order,"If you have any certificate or test report and data sheet for LS-RS204C, Please send it"
LS-SER-25MM-1.8M,LS-SER-25MM,suffix,확정,MSDS/SDS,미보유,X,1,2021-09-15,2021-09-15,BOR Cable (Mr Gu),Reach or MSDS of serial cable,our customer request about Reach or MSDS sheet for serial cable (LS-SER-25MM-1.8M )
LS-SRGB-15MM-xM,LS-SRGB-15MM,suffix,확정,Data sheet,미보유,X,1,2022-01-10,2022-01-10,BOR Cable (Mr Gu),Data Sheet - SRGB cable,We need Data Sheet about Slim RGB cables. LS-SRGB-15MM-xM
LS-SSTP-CAT.6A-300M,LS-SSTP-CAT.6A-300M|LS-SSTP-CAT6A-300M,exact,확정,CoC,미보유,X,1,2021-12-08,2021-12-08,BOR Cable (Mr Gu),COC sheet about Cat.6a Drum cable.,We need COC (Certificate Of Compliance) Sheet about LS-SSTP-CAT.6A-300M cable.
LS-SSTP-CAT.6A-300M,LS-SSTP-CAT.6A-300M|LS-SSTP-CAT6A-300M,exact,확정,MSDS/SDS,미보유,X,1,2024-06-14,2024-06-14,BOR Cable (Mr Gu),"LS-SSTP-CAT.6A-300M for ROHS , MSDS","We need LS-SSTP-CAT.6A-300M for ROHS , MSDS sheet."
LS-SSTP-CAT6A-300M,LS-SSTP-CAT.6A-300M|LS-SSTP-CAT6A-300M,exact,확정,CoC,미보유,X,1,2021-03-31,2021-03-31,BOR Cable (Mr Gu),LS-SSTP-CAT6A-300M / COC,we need COC (Certificate of compliance) sheet about CAT.6A 300m cable (LS-SSTP-CAT6A-300M)
LS-USB-AM5P-xM,LS-USB-AM5P,suffix,확정,MSDS/SDS,미보유,X,1,2026-07-01,2026-07-01,BOR Cable (Mr Gu),Request for CCC and MSDS Certification Status,check whether CCC certification and MSDS certification are available ... LS-USB-AM5P-xM
LS-USB-AM5P-xM,LS-USB-AM5P,suffix,확정,기타(Other-cert),미보유,X,1,2026-07-01,2026-07-01,BOR Cable (Mr Gu),Request for CCC and MSDS Certification Status,check whether CCC certification and MSDS certification are available ... LS-USB-AM5P-xM
LS-USB-AMBM-1.8M,LS-USB-AMBM,suffix,확정,MSDS/SDS,미보유,X,1,2026-07-08,2026-07-08,BOR Cable (Mr Gu),Request for Updated RoHS and MSDS Documents,provide the latest RoHS and MSDS documents for the following five cables
